"","Reductions","values"
"1",0,1
"2",1,0.999944091395452
"3",2,0.992968170553246
"4",3,0.998711344926552
"5",4,0.990809381212753
"6",5,0.991237067507572
"7",6,0.997037531565272
"8",7,0.990172609437395
"9",8,0.990437737304665
"10",9,0.986844272707942
"11",10,0.982692419040071
"12",11,0.994223463621483
"13",12,1.00884217297301
"14",13,1.00949093224026
"15",14,1.00867761775418
"16",15,1.00704776158114
"17",16,1.00980899114694
"18",17,1.02127928451857
"19",18,1.01782775119334
"20",19,1.03112895648533
"21",20,1.02520070860992
"22",21,1.0253273184036
"23",22,1.03428606451313
"24",23,1.03747174918587
"25",24,1.04182437110941
"26",25,1.05056282037972
"27",26,1.05416199797486
"28",27,1.06309321103488
"29",28,1.08876141592078
"30",29,1.0946736003832
"31",30,1.09098674661736
"32",31,1.09317168272525
"33",32,1.10965702286327
"34",33,1.12654840624025
"35",34,1.12236712989673
"36",35,1.1078509320633
"37",36,1.09821254381131
"38",37,1.10016486074467
"39",38,1.09748153661305
"40",39,1.08354853821705
"41",40,1.09391288476104
"42",41,1.0859316590775
"43",42,1.09130019951574
"44",43,1.1108931089883
"45",44,1.12340837570748
"46",45,1.1210850245503
"47",46,1.10495480718806
"48",47,1.08725697448173
"49",48,1.08652950901791
"50",49,1.08203448809087
"51",50,1.09760246552468
"52",51,1.09691833526353
"53",52,1.09642735381666
"54",53,1.09269089333095
"55",54,1.07288680840184
"56",55,1.07998131634
"57",56,1.08714795852023
"58",57,1.09348862561493
"59",58,1.07834776702918
"60",59,1.05582808312849
"61",60,1.03392447472943
"62",61,1.03012704689703
"63",62,1.01670597955349
"64",63,1.02308710237954
"65",64,1.03115516496614
"66",65,1.01417707055846
"67",66,1.03251907993994
"68",67,1.01635412832374
"69",68,0.951559539830975
"70",69,0.943259395428816
"71",70,0.938699793355287
"72",71,0.914448925829668
"73",72,0.886099408584544
"74",73,0.877210045213077
"75",74,0.893070488637251
"76",75,0.88102652033994
"77",76,0.76728962946711
"78",77,0.738496465384514
"79",78,0.706197830070666
"80",79,0.686141132627354
"81",80,0.669202868803094
"82",81,0.641699219519678
"83",82,0.605120366723442
"84",83,0.603778851448802
"85",84,0.528534643549807
"86",85,0.499941148250326
"87",86,0.469343033018216
"88",87,0.435048270141834
"89",88,0.36478121528434
"90",89,0.343717693871641
"91",90,0.322484476434772
"92",91,0.306239419302563
"93",92,0.197212334081812
"94",93,0.14146328301566
"95",94,0.151944036651913
"96",95,NA
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
